sku,name,brand,price,special_price,url,image,discount
BBA91SHF908154GS,ASICS Men Gel-Cumulus 27 Standard-1011B960.004,ASICS,Rp 1.999.000,,https://www.zalora.co.id/p/asics-asics-men-gel-cumulus-27-standard-1011b960-004-multi-5107020,https://dynamic.zacdn.com/8GyCPou3_qHxr1B0LseIRVnjc5Q=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/asics-1233-0207015-1.jpg,
B1974SHC8EB9B6GS,Energen Tech 2 Shoes,Reebok,Rp 999.000,Rp 899.100,https://www.zalora.co.id/p/reebok-energen-tech-2-shoes-multi-4918832,https://dynamic.zacdn.com/uAtyaOcSAU0MwLc-bHkiaBhzhzU=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/reebok-1651-2388194-1.jpg,10% OFF
0A54DSH2EDA6D9GS,PUMA First Mile TAZON Modern SL Running Shoes Men,PUMA,Rp 1.299.000,Rp 1.234.050,https://www.zalora.co.id/p/puma-puma-first-mile-tazon-modern-sl-running-shoes-men-4985899,https://dynamic.zacdn.com/YL_Oqepj6Am4eN2qn_Kgflaypns=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/puma-3056-9985894-1.jpg,5% OFF
FDFB4SH9FC599BGS,Go Walk Arch Fit 2.0,Skechers,Rp 1.599.000,Rp 1.119.300,https://www.zalora.co.id/p/skechers-go-walk-arch-fit-2-0-multi-4827650,https://dynamic.zacdn.com/-OaJl7oqfAc3XYnD0MAO4vw_ijk=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/skechers-5239-0567284-1.jpg,30% OFF
F89A3SH241769EGS,Downshifter 13 Road Running Shoes (Extra Wide),Nike,Rp 899.000,Rp 764.150,https://www.zalora.co.id/p/nike-downshifter-13-road-running-shoes-extra-wide-black-4904262,https://dynamic.zacdn.com/brHPUlQePF772DSbJIi0kRfZejU=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-0925-2624094-1.jpg,15% OFF
AA5B1SHAE94413GS,Adizero SL 2,ADIDAS,Rp 2.000.000,,https://www.zalora.co.id/p/adidas-adizero-sl-2-green-4983474,https://dynamic.zacdn.com/D84vOcXkJ-nAtgdVmYCTDTFoTP0=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-4512-4743894-1.jpg,
A6BF9SHEF52A92GS,Precise T-Lite Run JG M1 Sepatu Olahraga Lari Pria - Navy/Green FL,Precise,Rp 529.900,Rp 333.837,https://www.zalora.co.id/p/precise-precise-t-lite-run-jg-m1-sepatu-olahraga-lari-pria-navy-green-fl-navy-3860705,https://dynamic.zacdn.com/oV3YFz8XdqOAES8jfpjOi4MdcCM=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/precise-1715-5070683-1.jpg,37% OFF
594DASHEDD058AGS,ASICS Unisex Tiger Runner II Standard -1203A612.300,ASICS,Rp 1.199.000,Rp 839.300,https://www.zalora.co.id/p/asics-asics-unisex-tiger-runner-ii-standard-1203a612-300-multi-4952827,https://dynamic.zacdn.com/3Nzls4PNoQgjqD6xjhCZRAE8Ip4=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/asics-8665-7282594-1.jpg,30% OFF
0D034SH91566E7GS,ASICS Men Magic Speed 4 Standard-1011B875.001,ASICS,Rp 2.499.000,,https://www.zalora.co.id/p/asics-asics-men-magic-speed-4-standard-1011b875-001-multi-5029888,https://dynamic.zacdn.com/NuR8OIHbA2aFK04TGz5vliIAWgc=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/asics-2872-8889205-1.jpg,
E3EFCSH6220AB2GS,Run Swift 3 Shoes,Nike,Rp 1.129.000,Rp 1.016.100,https://www.zalora.co.id/p/nike-run-swift-3-shoes-blue-4975944,https://dynamic.zacdn.com/sqrEa9Zw3lzGoVFfaocD-zCiN7c=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-5458-4495794-1.jpg,10% OFF
2603ESHC9C76F6GS,Eagle Sepatu Omega ST ( Super Trainer ) - HITAM/BIRU/MERAH MUDA,Eagle,Rp 829.900,,https://www.zalora.co.id/p/eagle-eagle-sepatu-omega-st-super-trainer-hitam-biru-merah-muda-5061820,https://dynamic.zacdn.com/8XUhoDNFp1LFjMdBqhyUUr5gKuk=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/eagle-0484-0281605-1.jpg,
4C0CFSHBFF10E6GS,Men's Neo Run Base Sneakers - Black,Lacoste,Rp 1.199.000,,https://www.zalora.co.id/p/lacoste-men-s-neo-run-base-sneakers-black-black-5115744,https://dynamic.zacdn.com/WExwkx9bZhE19Mhyu_tSA2KI34w=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/lacoste-2076-4475115-1.jpg,
CD396SHFC9B71BGS,ASICS Men Gel-Kayano 32 Standard-1011C052.003,ASICS,Rp 2.599.000,,https://www.zalora.co.id/p/asics-asics-men-gel-kayano-32-standard-1011c052-003-multi-5030783,https://dynamic.zacdn.com/vGOOvfDVBlgcboMYj8Jg5m-C2YE=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/asics-3377-3870305-1.jpg,
BE0D3SHE4DC249GS,Pureboost 5 Running Shoes,ADIDAS,Rp 2.100.000,,https://www.zalora.co.id/p/adidas-pureboost-5-running-shoes-black-4793930,https://dynamic.zacdn.com/pfqBz-tE4CxorjTXtM48_XIxn8U=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-7831-0393974-1.jpg,
58CDESH7A355BFGS,PUMA Deviate NITRO™ 3 Men's Road Running Shoes,PUMA,Rp 2.399.000,,https://www.zalora.co.id/p/puma-puma-deviate-nitro-3-men-s-road-running-shoes-black-5124351,https://dynamic.zacdn.com/V1BQVkiaKakUHOPeKsXS6QdFxW4=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/puma-6482-1534215-1.jpg,
8AA1ESHF6F4E80GS,Flex Experience Run 12 Road Running Shoes,Nike,Rp 919.000,Rp 827.100,https://www.zalora.co.id/p/nike-flex-experience-run-12-road-running-shoes-blue-4976221,https://dynamic.zacdn.com/iQGtPTRvN_CYDDGEPyOfwNUaum0=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-2227-1226794-1.jpg,10% OFF
ED66ESH2E53EA0GS,PAULMAY Sepatu Sneakers Pria Wanita Osaka Series Beige,PAULMAY,Rp 399.000,Rp 182.540,https://www.zalora.co.id/p/paulmay-paulmay-sepatu-sneakers-pria-wanita-osaka-series-beige-beige-3871151,https://dynamic.zacdn.com/y1WRAk7QaA_hsOz8g1PKeXzlW7U=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/paulmay-8361-1511783-1.jpg,54% OFF
D313ESH3A82D8EGS,ASICS Men Gel-Nimbus 26 Wide -1011B795.001,ASICS,Rp 2.499.000,,https://www.zalora.co.id/p/asics-asics-men-gel-nimbus-26-wide-1011b795-001-multi-4508626,https://dynamic.zacdn.com/hApl3MqMhTi-A2Og1BKapGyCEF8=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/asics-3167-6268054-1.jpg,
F2D58SHEA19BD6GS,Questar 3 Running Shoes,ADIDAS,Rp 1.300.000,,https://www.zalora.co.id/p/adidas-questar-3-running-shoes-blue-4902447,https://dynamic.zacdn.com/GL9vQKR9B-GZzuUNdOjYlz_fp1Y=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-8092-7442094-1.jpg,
9FDC1SHB686379GS,ASICS Men Gel-Kayano 32 Standard-1011C052.021,ASICS,Rp 2.599.000,,https://www.zalora.co.id/p/asics-asics-men-gel-kayano-32-standard-1011c052-021-multi-5030788,https://dynamic.zacdn.com/GxuISdlY5_Q9MauZ5V70_mQxfds=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/asics-3422-8870305-1.jpg,
AA45BSHB6BDD90GS,PAULMAY - Sepatu Sneakers Running Pria Go Run Grey,PAULMAY,Rp 469.000,Rp 244.690,https://www.zalora.co.id/p/paulmay-paulmay-sepatu-sneakers-running-pria-go-run-grey-grey-4910375,https://dynamic.zacdn.com/S0RThs8B2yPPyHMZMihMHk3G0Kg=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/paulmay-4002-5730194-1.jpg,48% OFF
8ACE8SH031399BGS,ASICS Men Gel-Nimbus 27 Standard-1011B958.600,ASICS,Rp 2.599.000,,https://www.zalora.co.id/p/asics-asics-men-gel-nimbus-27-standard-1011b958-600-multi-5093136,https://dynamic.zacdn.com/-roRYkbRCjy_EbPON83QhSbHOPg=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/asics-2556-6313905-1.jpg,
75950SH1457096GS,Rebel,New Balance,Rp 2.499.000,,https://www.zalora.co.id/p/new-balance-rebel-red-5090220,https://dynamic.zacdn.com/zWrZppHPvc6y3b5A9m5GFYaiLeU=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/new-balance-5762-0220905-1.jpg,
EB79CSHCF8ED6DGS,PUMA Darter Pro Men's Running Shoes,PUMA,Rp 1.399.000,,https://www.zalora.co.id/p/puma-puma-darter-pro-men-s-running-shoes-blue-5057790,https://dynamic.zacdn.com/Fpnv19VU_OLMP4hHLOHti-Dz6Uw=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/puma-3010-0977505-1.jpg,
